,TypeName,make,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
47,911 GT2,PORSCHE,911,silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,11,2001,Benzin,462,schwarz,49900,null,4,Schaltgetriebe manuell
48,Alpine A310 V6,RENAULT,ALPINE,silber mét.,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1983,Benzin,150,beige,69000,"""Ab MFK""",4,Schaltgetriebe manuell
49,1600 GT DOHC,TOYOTA,CELICA,silber mét.,Coupé,1588,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,10,1981,Benzin,107,beige,79300,"""Ab MFK""",5,Schaltgetriebe
50,Phaeton 6.0 W12 4Motion,VW,PHAETON,silber mét.,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,11,2002,Benzin,420,grau,31300,"""Ab MFK""",4,Automat sequentiell
51,F430 Scuderia,FERRARI,F430,silber mét.,Coupé,4308,Zuzwil,360 g/km,Occasion,G,15.7 l/100km,2,Hinterradantrieb,3,2008,Benzin,506,schwarz,19999,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
52,190 E 2.5-16 ABS,MERCEDES-BENZ,190,silber mét.,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,4,1992,Benzin,195,null,152000,"""Ab MFK""",5,Schaltgetriebe manuell
53,750i,BMW,750,silber mét.,Limousine,5379,Zuzwil,327 g/km,Occasion,null,14.2 l/100km,4,Hinterradantrieb,3,1997,Benzin,327,schwarz,69600,"""Ab MFK""",5,Automat sequentiell
54,911 Carrera S,PORSCHE,911,silber mét.,Coupé,3824,Zuzwil,277 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,2005,Benzin,355,schwarz,39400,"""Ab MFK""",4,Schaltgetriebe manuell
55,Mondial 3.4 T,FERRARI,MONDIAL,silber mét.,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,null,16500,"""Ab MFK""",4,Schaltgetriebe manuell
56,X5 4.4i,BMW,X5,silber mét.,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,3,2002,Benzin,286,beige,60100,"""Ab MFK""",5,Automat sequentiell
57,F12 Berlinetta,FERRARI,F12,blau mét.,Coupé,6262,Zuzwil,350 g/km,Occasion,G,15.0 l/100km,3,Hinterradantrieb,1,2013,Benzin,736,braun,12000,"""Direkt-/Parallelimport""",2,Automatisiertes Schaltgetriebe
58,RS 2000,FORD,ESCORT,silber mét.,Coupé,1993,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1978,Benzin,110,schwarz,96600,null,5,Schaltgetriebe
59,SL 320,MERCEDES-BENZ,SL 320,silber mét.,Cabriolet,3199,Zuzwil,274 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,1999,Benzin,224,null,83600,"""Ab MFK""",2,Automat
60,911 Carrera 4S,PORSCHE,911,silber mét.,Coupé,3824,Zuzwil,285 g/km,Occasion,G,11.8 l/100km,2,Allrad,2,2006,Benzin,355,schwarz,101200,"""Ab MFK""",4,Schaltgetriebe manuell
61,FJ 40,TOYOTA,LAND CRUISER,silber mét.,SUV / Geländewagen,4228,Zuzwil,null,Occasion,null,null,3,Allrad,2,1982,Benzin,135,grau,5000,"""Ab MFK""",2,Schaltgetriebe manuell
62,SL 500,MERCEDES-BENZ,SL 500,silber mét.,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,schwarz,27600,"""Ab MFK""",0,Automat
63,1600S,RENAULT,Alpine A110,silber mét.,Coupé,1564,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1970,Benzin,124,beige,57700,"""Ab MFK""",2,Schaltgetriebe
64,ZX,DATSUN,280,silber mét.,Coupé,2753,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1981,Benzin,140,rot,50300,"""Ab MFK""",2,Schaltgetriebe
65,911 GT2,PORSCHE,911,silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,9,2001,Benzin,462,schwarz,53400,"""Ab MFK""",4,Schaltgetriebe manuell
66,Murciélago 6.2 Coupé,LAMBORGHINI,MURCIÉLAGO,silber mét.,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,null,9000,"""Ab MFK""",2,Schaltgetriebe manuell
67,ML 350 Inspiration,MERCEDES-BENZ,ML 350,silber mét.,SUV / Geländewagen,3724,Zuzwil,305 g/km,Occasion,G,12.7 l/100km,5,Allrad,10,2003,Benzin,235,schwarz,126300,"""Ab MFK""",5,Automat
68,A8 4.2 quattro,AUDI,A8,blau mét.,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,11,2003,Benzin,335,schwarz,26300,"""Ab MFK""",5,Automat sequentiell
69,911 Turbo,PORSCHE,911,silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,3,2003,Benzin,420,schwarz,94500,"""Ab MFK""",4,Automatik-Getriebe
70,M3 CSL,BMW,M3,silber mét.,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,null,35000,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
71,EVO V,MITSUBISHI,LANCER,silber mét.,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,1,1999,Benzin,280,schwarz,120800,"""Ab MFK""",5,Schaltgetriebe manuell
72,6.7 BRABUS,MERCEDES-BENZ,null,silber mét.,Coupé,6700,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,2000,Benzin,450,schwarz,75300,"""Ab MFK""",4,Automatik-Getriebe
73,911 Carrera 4,PORSCHE,911,silber mét.,Coupé,3387,Zuzwil,295 g/km,Occasion,G,12.0 l/100km,2,Allrad,11,2000,Benzin,300,schwarz,38200,"""Ab MFK""",4,Schaltgetriebe manuell
74,TT Roadster 1.8 T,AUDI,TT,silber mét.,Cabriolet,1781,Zuzwil,199 g/km,Occasion,G,8.3 l/100km,2,Vorderradantrieb,3,2005,Benzin,180,schwarz,49900,"""Ab MFK""",2,Schaltgetriebe manuell
75,A8 4.2 quattro,AUDI,A8,silber mét.,Limousine,4172,Zuzwil,314 g/km,Occasion,G,13.1 l/100km,4,Allrad,10,1999,Benzin,310,beige,101800,"""Ab MFK""",5,Automat sequentiell
76,1300,RENAULT,Alpine A110,silber mét.,Coupé,1288,Zuzwil,null,Occasion,null,null,2,null,0,1973,Benzin,0,schwarz,75700,"""Ab MFK""",2,Schaltgetriebe
77,Quattroporte 4.2,MASERATI,QUATTROPORTE,silber mét.,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,10,2005,Benzin,400,braun,33500,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
78,SL 500,MERCEDES-BENZ,SL 500,silber mét.,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1995,Benzin,320,null,96600,"""Ab MFK""",0,Automat
79,Arnage Red Label,BENTLEY,ARNAGE,blau mét.,Limousine,6761,Zuzwil,456 g/km,Occasion,G,19.2 l/100km,4,Hinterradantrieb,5,2000,Benzin,405,grau,19300,"""Ab MFK""",5,Automat
80,Continental GT Speed 6.0,BENTLEY,CONTINENTAL,silber mét.,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,schwarz,5000,"""Ab MFK""",4,Automat
81,D-Type XKD525,JAGUAR,null,violett mét.,Coupé,3442,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1956,Benzin,256,beige,5300,null,2,Schaltgetriebe
82,C2,CHEVROLET,CORVETTE,violett mét.,Coupé,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1967,Benzin,0,schwarz,21300,"""Ab MFK""",2,Schaltgetriebe
83,R5 1400 Alpine Turbo,RENAULT,R5,violett mét.,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,3,1982,Benzin,108,beige,77900,"""Ab MFK""",4,Schaltgetriebe manuell
84,E 50 AMG Avantgarde,MERCEDES-BENZ,E 50 AMG,violett mét.,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,67400,"""Ab MFK""",5,Automat
85,Diablo 5.7 SV,LAMBORGHINI,DIABLO,violett mét.,Coupé,5707,Porrentruy,575 g/km,Occasion,null,24.9 l/100km,2,Hinterradantrieb,1,1999,Benzin,530,bordeaux,44500,null,2,Schaltgetriebe manuell
86,S 500,MERCEDES-BENZ,S 500,violett mét.,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,10,1999,Benzin,306,schwarz,32000,"""Ab MFK""",5,Automat
87,Coupé GT,MASERATI,COUPÉ GT,weiss,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,7,2002,Benzin,390,beige,95300,"""Ab MFK""",4,Automatik-Getriebe
88,V8 Vantage 4.7,ASTON MARTIN,V8 Vantage,weiss,Cabriolet,4735,Zuzwil,312 g/km,Vorführmodell,G,13.2 l/100km,2,Hinterradantrieb,7,2010,Benzin,426,schwarz,9000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
89,ML 400 CDI,MERCEDES-BENZ,ML 400,weiss,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,2,2002,Diesel,250,schwarz,148300,"""Ab MFK""",5,Automat
90,RS6 Avant 4.0 TFSI V8 qu,AUDI,RS6,blau mét.,Kombi,3993,Zuzwil,229 g/km,Neu,G,9.8 l/100km,5,Allrad,4,2014,Benzin,560,schwarz,100,"""Ab MFK"", ""Tuning""",5,Automat sequentiell
91,Sprint,TRIUMPH,Dolomite,weiss,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,6,1977,Benzin,128,mehrfarbig,10800,"""Ab MFK""",5,Schaltgetriebe manuell
92,Cayenne S,PORSCHE,CAYENNE,weiss,SUV / Geländewagen,4511,Zuzwil,380 g/km,Occasion,null,15.8 l/100km,5,Allrad,3,2003,Benzin,340,schwarz,115000,"""Ab MFK""",5,Automatik-Getriebe
93,Spyder GT,MASERATI,SPYDER GT,weiss,Cabriolet,4244,Zuzwil,430 g/km,Occasion,G,18.6 l/100km,2,Hinterradantrieb,5,2003,Benzin,390,braun,78300,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
94,A4 3.0 V6,AUDI,A4,weiss,Limousine,2976,Zuzwil,233 g/km,Occasion,null,9.7 l/100km,4,Vorderradantrieb,2,2004,Benzin,220,schwarz,95300,"""Ab MFK""",5,Automatik-Getriebe
95,A8 4.2 quattro,AUDI,A8,weiss,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,beige,101300,"""Ab MFK""",5,Automat sequentiell
96,A310 2700 VA,RENAULT,ALPINE,weiss,Coupé,2663,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,11,1979,Benzin,150,blau,11200,"""Ab MFK""",0,Schaltgetriebe
97,575M,FERRARI,575M,weiss,Coupé,5748,Zuzwil,499 g/km,Occasion,G,21.8 l/100km,2,Hinterradantrieb,5,2007,Benzin,517,schwarz,26000,"""Ab MFK""",2,Schaltgetriebe manuell
98,SL 600,MERCEDES-BENZ,SL 600,weiss,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,1,2003,Benzin,500,anthrazit,43000,"""Ab MFK""",2,Automat
99,CLK 55 AMG Avantgarde,MERCEDES-BENZ,CLK 55 AMG,weiss,Coupé,5439,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,347,null,47500,"""Ab MFK""",4,Automat
100,Cayenne Turbo,PORSCHE,CAYENNE,weiss,SUV / Geländewagen,4511,Zuzwil,378 g/km,Neu,G,15.7 l/100km,5,Allrad,1,2007,Benzin,450,schwarz,10,"""Ab MFK""",5,Automat sequentiell
101,Coupé GT,MASERATI,COUPÉ GT,blau mét.,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,8,2003,Benzin,390,blau,61400,"""Ab MFK""",4,Automatik-Getriebe
102,330i,BMW,330,weiss,Limousine,2979,Zuzwil,238 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2000,Benzin,231,schwarz,49700,"""Ab MFK""",5,Automat
103,CL 600,MERCEDES-BENZ,CL 600,weiss,Coupé,5786,Zuzwil,333 g/km,Occasion,G,13.9 l/100km,2,Hinterradantrieb,11,2000,Benzin,367,grau,94000,"""Ab MFK""",4,Automat
104,A8 4.2 quattro,AUDI,A8,weiss,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,3,1997,Benzin,300,schwarz,94700,null,5,Automat
105,911 Turbo S Cabrio,PORSCHE,911,weiss,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,7,2011,Benzin,530,mehrfarbig,14000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
106,MP4-12C Coupé 3.8 V8,McLAREN,12C,weiss,Coupé,3798,Zuzwil,279 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,3,2012,Benzin,626,schwarz,23000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
107,458 Spider Italia 4.5 V8,FERRARI,458,weiss,Cabriolet,4497,Zuzwil,275 g/km,Occasion,G,11.8 l/100km,2,Hinterradantrieb,1,2012,Benzin,566,schwarz,11700,null,2,Automatisiertes Schaltgetriebe
108,RS6 Avant 5.0 V10 quattro,AUDI,RS6,weiss,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,7,2008,Benzin,580,schwarz,120000,"""Ab MFK""",5,Automat sequentiell
109,599 GTB,FERRARI,599,weiss,Coupé,5999,Zuzwil,490 g/km,Occasion,G,21.3 l/100km,2,Hinterradantrieb,4,2007,Benzin,620,beige,22000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
110,S 63 AMG L,MERCEDES-BENZ,S 63 AMG,weiss,Limousine,6209,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,4,2008,Benzin,525,schwarz,46000,"""Ab MFK""",5,Automat sequentiell
111,C1,CHEVROLET,CORVETTE,weiss,Cabriolet,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1961,Benzin,327,schwarz,67000,"""Ab MFK""",2,Schaltgetriebe manuell
112,RT 12,RUF,null,anthrazit mét.,Coupé,3800,Zuzwil,null,Occasion,null,null,2,null,6,2007,Benzin,650,schwarz,36000,"""Ab MFK""",0,null
113,RS6 Avant quattro,AUDI,RS6,blau mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,schwarz,81000,"""Ab MFK"", ""Tuning""",5,Automat
114,S 500 4Matic,MERCEDES-BENZ,S 500,weiss,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,schwarz,62300,"""Ab MFK""",5,Automat sequentiell
115,Arnage Green Label,BENTLEY,ARNAGE,weiss,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,7,2000,Benzin,354,grau,34900,"""Ab MFK""",4,Automat
116,740i,BMW,740,weiss,Limousine,4398,Zuzwil,329 g/km,Occasion,null,13.8 l/100km,4,Hinterradantrieb,4,1998,Benzin,286,grau,85400,"""Ab MFK""",5,Automat
117,null,DE TOMASO,PANTERA,weiss,Limousine,5752,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,9,1974,Benzin,0,schwarz,68100,null,2,Schaltgetriebe
118,XJR 4.0 Supercharged,JAGUAR,XJ,weiss,Limousine,3980,Zuzwil,null,Occasion,null,13.3 l/100km,4,Hinterradantrieb,1,1996,Benzin,320,beige,99900,"""Ab MFK""",5,Automat
