,carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,milage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
32,Coupé,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,CLK 55 AMG,CLK 55 AMG Avantgarde,False,car,,6,l_km_consumption
33,Limousine,Silver,Occasion,,,Zuzwil,,Audi,2014,0.0,,S7,S7 Sportback 4.0 TFSI V8 quattro,False,car,,3,l_km_consumption
34,Limousine,Silver,Occasion,,,Basel,,Bentley,2006,0.0,,ARNAGE,Arnage T,False,car,,3,l_km_consumption
35,Limousine,Blue,Occasion,,,Zuzwil,,Audi,2006,0.0,,RS4,RS4 4.2 V8 quattro,False,car,,5,l_km_consumption
36,Limousine,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,E 55 AMG,E 55 AMG Avantgarde,False,car,,10,l_km_consumption
37,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2001,0.0,,911,911 Turbo,False,car,,5,l_km_consumption
38,Coupé,Silver,Occasion,,,Zuzwil,,BMW,2004,0.0,,645,645i,False,car,,1,l_km_consumption
39,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2000,0.0,,911,911 GT3,False,car,,1,l_km_consumption
40,Limousine,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1996,0.0,,E 420,E 420 Avantgarde,False,car,,11,l_km_consumption
41,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2002,0.0,,911,911 Carrera 4 S,False,car,,3,l_km_consumption
42,Cabriolet,Silver,Occasion,,,Zuzwil,,Aston Martin,2013,0.0,,DB9,DB9 Volante,False,car,,5,l_km_consumption
43,Limousine,Silver,Occasion,,,Zuzwil,,Triumph,1977,0.0,,Dolomite,Sprint,False,car,,7,
44,Cabriolet,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1996,0.0,,SL 500,SL 500,False,car,,6,l_km_consumption
45,Cabriolet,Silver,Occasion,,,Zuzwil,,BMW,2007,0.0,,M6,M6,False,car,,2,l_km_consumption
46,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2001,0.0,,RS4,RS4 Avant quattro,False,car,,7,l_km_consumption
47,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2001,0.0,,911,911 GT2,False,car,,11,l_km_consumption
48,Coupé,Silver,Occasion,,,Zuzwil,,Renault,1983,0.0,,ALPINE,Alpine A310 V6,False,car,,3,
49,Coupé,Silver,Restored,,,Zuzwil,,Toyota,1981,0.0,,CELICA,1600 GT DOHC,False,car,,10,
50,Limousine,Silver,Occasion,,,Zuzwil,,VW,2002,0.0,,PHAETON,Phaeton 6.0 W12 4Motion,False,car,,11,l_km_consumption
51,Coupé,Silver,Occasion,,,Zuzwil,,Ferrari,2008,0.0,,F430,F430 Scuderia,False,car,,3,l_km_consumption
52,Limousine,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1992,0.0,,190,190 E 2.5-16 ABS,False,car,,4,
53,Limousine,Silver,Occasion,,,Zuzwil,,BMW,1997,0.0,,750,750i,False,car,,3,l_km_consumption
54,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2005,0.0,,911,911 Carrera S,False,car,,8,l_km_consumption
55,Coupé,Silver,Occasion,,,Zuzwil,,Ferrari,1992,0.0,,MONDIAL,Mondial 3.4 T,False,car,,5,
56,SUV,Silver,Occasion,,,Zuzwil,,BMW,2002,0.0,,X5,X5 4.4i,False,car,,3,l_km_consumption
57,Coupé,Blue,Occasion,,,Zuzwil,,Ferrari,2013,0.0,,F12,F12 Berlinetta,False,car,,1,l_km_consumption
58,Coupé,Silver,Occasion,,,Zuzwil,,Ford,1978,0.0,,ESCORT,RS 2000,False,car,,3,
59,Cabriolet,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1999,0.0,,SL 320,SL 320,False,car,,8,l_km_consumption
60,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2006,0.0,,911,911 Carrera 4S,False,car,,2,l_km_consumption
61,SUV,Silver,Occasion,,,Zuzwil,,Toyota,1982,0.0,,LAND CRUISER,FJ 40,False,car,,2,
62,Cabriolet,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1996,0.0,,SL 500,SL 500,False,car,,10,l_km_consumption
63,Coupé,Silver,Occasion,,,Zuzwil,,Renault,1970,0.0,,Alpine A110,1600S,False,car,,3,
64,Coupé,Silver,Occasion,,,Zuzwil,,Datsun,1981,0.0,,280,ZX,False,car,,3,
65,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2001,0.0,,911,911 GT2,False,car,,9,l_km_consumption
66,Coupé,Silver,Occasion,,,Porrentruy,,Lamborghini,2003,0.0,,MURCIÉLAGO,Murciélago 6.2 Coupé,False,car,,2,l_km_consumption
67,SUV,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,2003,0.0,,ML 350,ML 350 Inspiration,False,car,,10,l_km_consumption
68,Limousine,Blue,Occasion,,,Zuzwil,,Audi,2003,0.0,,A8,A8 4.2 quattro,False,car,,11,l_km_consumption
69,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2003,0.0,,911,911 Turbo,False,car,,3,l_km_consumption
70,Coupé,Silver,Occasion,,,Zuzwil,,BMW,2003,0.0,,M3,M3 CSL,False,car,,11,l_km_consumption
71,Limousine,Silver,Occasion,,,Zuzwil,,Mitsubishi,1999,0.0,,LANCER,EVO V,False,car,,1,
72,Coupé,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,null,6.7 BRABUS,False,car,,2,
73,Coupé,Silver,Occasion,,,Zuzwil,,Porsche,2000,0.0,,911,911 Carrera 4,False,car,,11,l_km_consumption
74,Cabriolet,Silver,Occasion,,,Zuzwil,,Audi,2005,0.0,,TT,TT Roadster 1.8 T,False,car,,3,l_km_consumption
75,Limousine,Silver,Occasion,,,Zuzwil,,Audi,1999,0.0,,A8,A8 4.2 quattro,False,car,,10,l_km_consumption
76,Coupé,Silver,Occasion,,,Zuzwil,,Renault,1973,0.0,,Alpine A110,1300,False,car,,0,
77,Limousine,Silver,Occasion,,,Zuzwil,,Maserati,2005,0.0,,QUATTROPORTE,Quattroporte 4.2,False,car,,10,l_km_consumption
78,Cabriolet,Silver,Occasion,,,Zuzwil,,Mercedes-Benz,1995,0.0,,SL 500,SL 500,False,car,,1,
79,Limousine,Blue,Occasion,,,Zuzwil,,Bentley,2000,0.0,,ARNAGE,Arnage Red Label,False,car,,5,l_km_consumption
80,Coupé,Silver,Occasion,,,St. Gallen,,Bentley,2015,0.0,,CONTINENTAL,Continental GT Speed 6.0,False,car,,9,l_km_consumption
81,Coupé,Violet,Occasion,,,Zuzwil,,Jaguar,1956,0.0,,null,D-Type XKD525,False,car,,7,
82,Coupé,Violet,Occasion,,,Zuzwil,,Chevrolet,1967,0.0,,CORVETTE,C2,False,car,,6,
83,Small Car,Violet,Occasion,,,Zuzwil,,Renault,1982,0.0,,R5,R5 1400 Alpine Turbo,False,car,,3,
84,Limousine,Violet,Occasion,,,Zuzwil,,Mercedes-Benz,1997,0.0,,E 50 AMG,E 50 AMG Avantgarde,False,car,,3,l_km_consumption
85,Coupé,Violet,Occasion,,,Porrentruy,,Lamborghini,1999,0.0,,DIABLO,Diablo 5.7 SV,False,car,,1,l_km_consumption
86,Limousine,Violet,Occasion,,,Zuzwil,,Mercedes-Benz,1999,0.0,,S 500,S 500,False,car,,10,l_km_consumption
87,Coupé,White,Occasion,,,Zuzwil,,Maserati,2002,0.0,,COUPÉ GT,Coupé GT,False,car,,7,l_km_consumption
88,Cabriolet,White,Demonstration,,,Zuzwil,,Aston Martin,2010,0.0,,V8 Vantage,V8 Vantage 4.7,False,car,,7,l_km_consumption
89,SUV,White,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,ML 400,ML 400 CDI,False,car,,2,l_km_consumption
90,Station Wagon,Blue,New,,,Zuzwil,,Audi,2014,0.0,,RS6,RS6 Avant 4.0 TFSI V8 qu,False,car,,4,l_km_consumption
91,Limousine,White,Occasion,,,Zuzwil,,Triumph,1977,0.0,,Dolomite,Sprint,False,car,,6,
92,SUV,White,Occasion,,,Zuzwil,,Porsche,2003,0.0,,CAYENNE,Cayenne S,False,car,,3,l_km_consumption
93,Cabriolet,White,Occasion,,,Zuzwil,,Maserati,2003,0.0,,SPYDER GT,Spyder GT,False,car,,5,l_km_consumption
94,Limousine,White,Occasion,,,Zuzwil,,Audi,2004,0.0,,A4,A4 3.0 V6,False,car,,2,l_km_consumption
95,Limousine,White,Occasion,,,Zuzwil,,Audi,2003,0.0,,A8,A8 4.2 quattro,False,car,,9,l_km_consumption
96,Coupé,White,Restored,,,Zuzwil,,Renault,1979,0.0,,ALPINE,A310 2700 VA,False,car,,11,
97,Coupé,White,Occasion,,,Zuzwil,,Ferrari,2007,0.0,,575M,575M,False,car,,5,l_km_consumption
98,Cabriolet,White,Occasion,,,Zuzwil,,Mercedes-Benz,2003,0.0,,SL 600,SL 600,False,car,,1,l_km_consumption
99,Coupé,White,Occasion,,,Zuzwil,,Mercedes-Benz,2001,0.0,,CLK 55 AMG,CLK 55 AMG Avantgarde,False,car,,11,l_km_consumption
100,SUV,White,New,,,Zuzwil,,Porsche,2007,0.0,,CAYENNE,Cayenne Turbo,False,car,,1,l_km_consumption
101,Coupé,Blue,Occasion,,,Zuzwil,,Maserati,2003,0.0,,COUPÉ GT,Coupé GT,False,car,,8,l_km_consumption
102,Limousine,White,Occasion,,,Zuzwil,,BMW,2000,0.0,,330,330i,False,car,,9,l_km_consumption
103,Coupé,White,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,CL 600,CL 600,False,car,,11,l_km_consumption
104,Limousine,White,Occasion,,,Zuzwil,,Audi,1997,0.0,,A8,A8 4.2 quattro,False,car,,3,l_km_consumption
105,Cabriolet,White,Occasion,,,Zuzwil,,Porsche,2011,0.0,,911,911 Turbo S Cabrio,False,car,,7,l_km_consumption
106,Coupé,White,Occasion,,,Zuzwil,,Mclaren,2012,0.0,,12C,MP4-12C Coupé 3.8 V8,False,car,,3,l_km_consumption
107,Cabriolet,White,Occasion,,,Zuzwil,,Ferrari,2012,0.0,,458,458 Spider Italia 4.5 V8,False,car,,1,l_km_consumption
108,Station Wagon,White,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,7,l_km_consumption
109,Coupé,White,Occasion,,,Zuzwil,,Ferrari,2007,0.0,,599,599 GTB,False,car,,4,l_km_consumption
110,Limousine,White,Occasion,,,Zuzwil,,Mercedes-Benz,2008,0.0,,S 63 AMG,S 63 AMG L,False,car,,4,l_km_consumption
111,Cabriolet,White,Occasion,,,Zuzwil,,Chevrolet,1961,0.0,,CORVETTE,C1,False,car,,1,
112,Coupé,Anthracite,Occasion,,,Zuzwil,,RUF,2007,0.0,,null,RT 12,False,car,,6,
113,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2002,0.0,,RS6,RS6 Avant quattro,False,car,,10,l_km_consumption
114,Limousine,White,Occasion,,,Zuzwil,,Mercedes-Benz,2006,0.0,,S 500,S 500 4Matic,False,car,,11,l_km_consumption
115,Limousine,White,Occasion,,,Zuzwil,,Bentley,2000,0.0,,ARNAGE,Arnage Green Label,False,car,,7,l_km_consumption
116,Limousine,White,Occasion,,,Zuzwil,,BMW,1998,0.0,,740,740i,False,car,,4,l_km_consumption
117,Limousine,White,Occasion,,,Zuzwil,,De Tomaso,1974,0.0,,PANTERA,null,False,car,,9,
118,Limousine,White,Occasion,,,Zuzwil,,Jaguar,1996,0.0,,XJ,XJR 4.0 Supercharged,False,car,,1,l_km_consumption
119,SUV,White,Occasion,,,Zuzwil,,Mercedes-Benz,2005,0.0,,ML 500,ML 500 4Matic,False,car,,12,l_km_consumption
120,Coupé,White,Occasion,,,Zuzwil,,Delorean,1981,0.0,,null,De Lorean DMC-12,False,car,,4,
121,Limousine,White,Occasion,,,Zuzwil,,Porsche,2009,0.0,,PANAMERA,Panamera Turbo 4.8,False,car,,9,l_km_consumption
122,Small Car,White,Occasion,,,Zuzwil,,Autobianchi,1974,0.0,,A112,Abarth Serie II,False,car,,6,
123,Cabriolet,White,Restored,,,Zuzwil,,Alfa Romeo,1970,0.0,,SPIDER,1300 Junior,False,car,,3,
124,Limousine,Blue,Occasion,,,Zuzwil,,VW,2003,0.0,,PHAETON,Phaeton 6.0 W12 4Motion,False,car,,1,l_km_consumption
125,Pick-up,White,Occasion,,,Zuzwil,,Chevrolet,2007,0.0,,Silverado,2500HD 6.6l V8,False,car,,2,
126,Coupé,White,Occasion,,,Zuzwil,,Mercedes-Benz,2001,0.0,,CL 600,CL 600,False,car,,1,l_km_consumption
127,Limousine,White,Occasion,,,Zuzwil,,Bentley,2000,0.0,,ARNAGE,Red Label,False,car,,10,
128,Coupé,White,Occasion,,,Zuzwil,,Mercedes-Benz,2003,0.0,,CL 600,CL 600,False,car,,9,l_km_consumption
129,Coupé,White,Occasion,,,Zuzwil,,Renault,1988,0.0,,ALPINE,Alpine V6 Turbo,False,car,,4,
130,Station Wagon,White,Occasion,,,Zuzwil,,Mercedes-Benz,2013,0.0,,CLS 500,CLS 500,False,car,,5,l_km_consumption
131,Limousine,White,Occasion,,,Zuzwil,,Mercedes-Benz,2007,0.0,,CLS 63 AMG,CLS 63 AMG,False,car,,9,l_km_consumption
132,SUV,White,Demonstration,,,Zuzwil,,Hummer,2008,0.0,,H3,H3 3.7 Adventure,False,car,,11,l_km_consumption
133,Limousine,White,Occasion,,,Zuzwil,,Rolls-Royce,2004,0.0,,PHANTOM,Phantom 6.7 V12,False,car,,11,l_km_consumption
134,Coupé,White,Occasion,,,Zuzwil,,Porsche,2008,0.0,,911,911 Turbo,False,car,,2,l_km_consumption
135,SUV,Blue,Occasion,,,Zuzwil,,Ford ,1999,0.0,,EXPLORER,Explorer 4.0 Ltd. Edition,False,car,,9,l_km_consumption
136,Coupé,White,Occasion,,,Zuzwil,,Renault,1971,0.0,,Alpine A110,1300 VC Gordini,False,car,,3,
137,Coupé,White,Occasion,,,Zuzwil,,Porsche,2001,0.0,,911,911 Turbo,False,car,,10,l_km_consumption
138,Station Wagon,White,Occasion,,,Zuzwil,,Audi,2010,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,1,l_km_consumption
139,Coupé,White,Occasion,,,Zuzwil,,Bentley,2004,0.0,,CONTINENTAL,Continental GT 6.0,False,car,,7,l_km_consumption
140,Coupé,White,Occasion,,,Zuzwil,,Ferrari,2003,0.0,,575M,575M,False,car,,4,l_km_consumption
141,Cabriolet,White,Occasion,,,Zuzwil,,Mercedes-Benz,1991,0.0,,SL 500,SL 500,False,car,,1,
142,Cabriolet,White,Occasion,,,Zuzwil,,Mazda,2007,0.0,,MX-5,MX-5 1.8i 16V Confort,False,car,,3,l_km_consumption
143,Station Wagon,White,Occasion,,,Zuzwil,,Audi,2009,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,1,l_km_consumption
144,Coupé,White,Occasion,,,Zuzwil,,Peugeot,1984,0.0,,205,Turbo 16V,False,car,,11,
145,Limousine,White,Occasion,,,Zuzwil,,Audi,1996,0.0,,A8,A8 4.2 quattro,False,car,,3,l_km_consumption
146,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1991,0.0,,500,500 SE,False,car,,8,
147,Limousine,White,Occasion,,,Zuzwil,,BMW,2009,0.0,,320,320d xDrive M-Sportpaket,False,car,,2,l_km_consumption
148,Limousine,White,Occasion,,,Zuzwil,,BMW,1998,0.0,,728,728i,False,car,,11,l_km_consumption
149,Coupé,White,Occasion,,,Zuzwil,,Jaguar,1996,0.0,,XJ 220,null,False,car,,5,
150,SUV,White,Occasion,,,Zuzwil,,Porsche,2012,0.0,,CAYENNE,Cayenne S,False,car,,6,l_km_consumption
151,Limousine,White,Occasion,,,Zuzwil,,Rolls-Royce,2004,0.0,,PHANTOM,Phantom 6.7 V12,False,car,,1,l_km_consumption
152,Limousine,White,Occasion,,,Zuzwil,,Bentley,2006,0.0,,CONTINENTAL,Continental FlyingSpur6.0,False,car,,1,l_km_consumption
153,Limousine,White,Occasion,,,Zuzwil,,Mercedes-Benz,2010,0.0,,CLS 63 AMG,CLS 63 AMG,False,car,,8,l_km_consumption
154,Minivan,White,Occasion,,,Zuzwil,,Renault,2004,0.0,,ESPACE,Espace 2.0 T Privilège,False,car,,3,l_km_consumption
155,Coupé,White,Occasion,,,Zuzwil,,Jaguar,1999,0.0,,XK,XKR S/C,False,car,,11,l_km_consumption
156,Limousine,White,Restored,,,Safenwil,,Mini,1976,0.0,,MINI,1000,False,car,,7,
157,SUV,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,ML 500,ML 500,False,car,,1,l_km_consumption
158,Cabriolet,White,Occasion,,,Zuzwil,,Mclaren,2013,0.0,,12C,MP4-12C Cabriolet 3.8 V8,False,car,,3,l_km_consumption
159,Cabriolet,White,Occasion,,,Zuzwil,,Mercedes-Benz,1997,0.0,,SL 320,SL 320,False,car,,2,l_km_consumption
160,Cabriolet,White,Occasion,,,Zuzwil,,AGM,2004,0.0,,null,WLR,False,car,,1,
161,Cabriolet,White,Occasion,,,Zuzwil,,Mercedes-Benz,2003,0.0,,SL 55 AMG,SL 55 AMG,False,car,,1,l_km_consumption
162,Cabriolet,White,Occasion,,,Zuzwil,,Porsche,2006,0.0,,911,911 Carrera S Cabrio,False,car,,8,l_km_consumption
163,Cabriolet,White,Occasion,,,Zuzwil,,Mercedes-Benz,2001,0.0,,SL 500,SL 500,False,car,,11,l_km_consumption
164,Coupé,White,Occasion,,,Zuzwil,,Mercedes-Benz,1993,0.0,,S 600,S 600,False,car,,8,
165,Limousine,White,Occasion,,,Zuzwil,,VW,2005,0.0,,PHAETON,Phaeton 3.0 TDi V6 4M,False,car,,6,l_km_consumption
166,Coupé,White,Occasion,,,Zuzwil,,Ferrari,2000,0.0,,456,456M GT,False,car,,3,l_km_consumption
167,Limousine,White,Occasion,,,Zuzwil,,Mercedes-Benz,2007,0.0,,S 65 AMG,S 65 AMG L,False,car,,3,l_km_consumption
168,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2008,0.0,,SL 55 AMG,SL 55 AMG,False,car,,12,l_km_consumption
169,Limousine,White,Occasion,,,Zuzwil,,BMW,1998,0.0,,M5,M5,False,car,,10,l_km_consumption
170,Limousine,White,Occasion,,,Zuzwil,,Mercedes-Benz,2005,0.0,,A 150,A 150 Classic,False,car,,10,l_km_consumption
171,Coupé,White,Occasion,,,Porrentruy,,Lamborghini,2008,0.0,,null,Reventon Coupé,False,car,,4,
172,Station Wagon,White,Occasion,,,Zuzwil,,Audi,2004,0.0,,RS6,RS6 Avant quattro,False,car,,3,l_km_consumption
173,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,10,l_km_consumption
174,Station Wagon,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2001,0.0,,E 320,E 320 Avantgarde,False,car,,5,l_km_consumption
175,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2008,0.0,,null,CLK DTM AMG,False,car,,2,
176,Coupé,Blue,Occasion,,,Zuzwil,,Porsche,2009,0.0,,911,911 Turbo,False,car,,3,l_km_consumption
177,SUV,Anthracite,Occasion,,,Zuzwil,,BMW,2002,0.0,,X5,X5 4.6is,False,car,,11,l_km_consumption
178,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2004,0.0,,SL 600,SL 600,False,car,,4,l_km_consumption
179,Limousine,Blue,Occasion,,,Zuzwil,,Bentley,1995,0.0,,BROOKLANDS,Brooklands,False,car,,3,
180,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,C 320,C 320 Elégance,False,car,,5,l_km_consumption
181,Limousine,Blue,Occasion,,,Zuzwil,,Bmw-Alpina,1986,0.0,,5 SERIES,B7 TURBO,False,car,,5,
182,Coupé,Blue,Occasion,,,Porrentruy,,Ferrari,2003,0.0,,F360,F360 Modena Berlinetta,False,car,,11,l_km_consumption
183,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,7,l_km_consumption
184,Limousine,Blue,Occasion,,,Zuzwil,,BMW,1998,0.0,,728,728i,False,car,,5,l_km_consumption
185,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2003,0.0,,RS6,RS6 Avant quattro,False,car,,5,l_km_consumption
186,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2013,0.0,,E 63 AMG,E 63 AMG S 4Matic,False,car,,7,l_km_consumption
187,Coupé,Blue,Occasion,,,Zuzwil,,Lamborghini,2007,0.0,,MURCIÉLAGO,Murciélago LP640-4 Cpé,False,car,,7,l_km_consumption
188,Coupé,Anthracite,Occasion,,,Zuzwil,,Porsche,1980,0.0,,924,Turbo,False,car,,3,
189,Coupé,Blue,Restored,,,Zuzwil,,MG,1957,0.0,,null,Roadster,False,car,,1,
190,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1999,0.0,,S 55 AMG,S 55 AMG,False,car,,2,l_km_consumption
191,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2003,0.0,,SL 600,SL 600,False,car,,10,l_km_consumption
192,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2003,0.0,,E 240,E 240 Avantgarde,False,car,,3,l_km_consumption
193,Cabriolet,Blue,Occasion,,,Zuzwil,,BMW,1990,0.0,,Z1,null,False,car,,2,
194,Limousine,Blue,Occasion,,,Zuzwil,,Honda,2001,0.0,,LEGEND,Legend V6 3.5i,False,car,,3,l_km_consumption
195,Coupé,Blue,Occasion,,,Zuzwil,,Porsche,2002,0.0,,911,911 Turbo,False,car,,3,l_km_consumption
196,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2011,0.0,,CLS 63 AMG,CLS 63 AMG,False,car,,5,l_km_consumption
197,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,SL 320,SL 320,False,car,,4,l_km_consumption
198,Limousine,Blue,Occasion,,,Zuzwil,,BMW,1995,0.0,,750,750i,False,car,,7,l_km_consumption
199,Cabriolet,Anthracite,Occasion,,,Zuzwil,,Audi,1996,0.0,,Cabriolet,Cabriolet 2.8 E,False,car,,7,l_km_consumption
200,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,10,l_km_consumption
201,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1997,0.0,,C 230,C 230 Elégance,False,car,,2,l_km_consumption
202,Coupé,Blue,Occasion,,,Zuzwil,,Lamborghini,2011,0.0,,GALLARDO,Gallardo LP570-4 Coupé SL,False,car,,3,l_km_consumption
203,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2006,0.0,,S 65 AMG,S 65 AMG L,False,car,,8,l_km_consumption
204,Coupé,Blue,Occasion,,,Zuzwil,,Renault,1977,0.0,,Alpine A110,A5 Motor,False,car,,5,
